title,price,rating
A Light in the ...,£51.77,Three
Tipping the Velvet,£53.74,One
Soumission,£50.10,One
Sharp Objects,£47.82,Four
Sapiens: A Brief History ...,£54.23,Five
The Requiem Red,£22.65,One
The Dirty Little Secrets ...,£33.34,Four
The Coming Woman: A ...,£17.93,Three
The Boys in the ...,£22.60,Four
The Black Maria,£52.15,One
Starving Hearts (Triangular Trade ...,£13.99,Two
Shakespeare's Sonnets,£20.66,Four
Set Me Free,£17.46,Five
Scott Pilgrim's Precious Little ...,£52.29,Five
Rip it Up and ...,£35.02,Five
Our Band Could Be ...,£57.25,Three
Olio,£23.88,One
Mesaerion: The Best Science ...,£37.59,One
Libertarianism for Beginners,£51.33,Two
It's Only the Himalayas,£45.17,Two
In Her Wake,£12.84,One
How Music Works,£37.32,Two
Foolproof Preserving: A Guide ...,£30.52,Three
Chase Me (Paris Nights ...,£25.27,Five
Black Dust,£34.53,Five
Birdsong: A Story in ...,£54.64,Three
America's Cradle of Quarterbacks: ...,£22.50,Three
Aladdin and His Wonderful ...,£53.13,Three
Worlds Elsewhere: Journeys Around ...,£40.30,Five
Wall and Piece,£44.18,Four
The Four Agreements: A ...,£17.66,Five
The Five Love Languages: ...,£31.05,Three
The Elephant Tree,£23.82,Five
The Bear and the ...,£36.89,One
Sophie's World,£15.94,Five
Penny Maybe,£33.29,Three
Maude (1883-1993):She Grew Up ...,£18.02,Two
"In a Dark, Dark ...",£19.63,One
Behind Closed Doors,£52.22,Four
You can't bury them ...,£33.63,Two
Slow States of Collapse: ...,£57.31,Three
Reasons to Stay Alive,£26.41,Two
Private Paris (Private #10),£47.61,Five
#HigherSelfie: Wake Up Your ...,£23.11,Five
Without Borders (Wanderlove #1),£45.07,Two
When We Collided,£31.77,One
"We Love You, Charlie ...",£50.27,Five
Untitled Collection: Sabbath Poems ...,£14.27,Four
Unseen City: The Majesty ...,£44.18,Four
Unicorn Tracks,£18.78,Three
Unbound: How Eight Technologies ...,£25.52,One
Tsubasa: WoRLD CHRoNiCLE 2 ...,£16.28,One
Throwing Rocks at the ...,£31.12,Three
This One Summer,£19.49,Four
Thirst,£17.27,Five
The Torch Is Passed: ...,£19.09,One
The Secret of Dreadwillow ...,£56.13,One
The Pioneer Woman Cooks: ...,£56.41,One
The Past Never Ends,£56.50,Four
The Natural History of ...,£45.22,Three
